1740243560,NaN,-57,-4086,77,12,49,-7,19,-432,106,9.87,-1245,-4050,-1191,5.0625,7.67,1000.27,34.262,2,80,2372,1463,468,10,811,808,1670,1514,1832,2972
1740243560,NaN,-66,-4101,81,12,51,-14,33,-434,102,10.15,-1263,-4020,-1205,5,7.68,1000.27,34.273,2,102,2369,1469,462,10,817,821,1668,1515,1827,2973
1740243560,NaN,-59,-4093,76,15,39,-8,29,-432,104,10.11,-1251,-4063,-1173,5,7.68,1000.27,34.246,2,91,2383,1462,464,13,818,800,1668,1517,1829,2973
1740243560,NaN,-39,-4089,71,11,39,-18,30,-434,95,9.91,-1255,-4031,-1195,5,7.68,1000.26,34.262,3,124,2371,1461,468,12,812,808,1669,1515,1818,2972
1740243561,NaN,-53,-4089,62,13,43,-17,30,-431,102,9.77,-1243,-4058,-1177,5,7.68,1000.26,34.251,3,78,2380,1470,464,12,813,800,1672,1516,1823,2973
1740243561,NaN,-53,-4103,75,11,41,-11,30,-434,95,10.06,-1220,-4078,-1153,5,7.68,1000.27,34.251,3,107,2372,1460,465,9,815,815,1672,1515,1822,2972
1740243561,NaN,-44,-4102,65,16,46,-12,29,-435,99,10.06,-1223,-4069,-1187,4.9375,7.68,1000.27,34.257,2,115,2377,1468,469,10,797,790,1671,1515,1822,2973
1740243561,NaN,-53,-4104,76,11,37,-19,30,-431,102,10.15,-1240,-4062,-1151,4.9375,7.68,1000.27,34.257,3,74,2380,1477,461,14,817,803,1670,1517,1832,2973
1740243561,NaN,-56,-4093,67,14,42,-16,30,-436,95,9.87,-1221,-4065,-1185,4.875,7.69,1000.26,34.258,3,88,2375,1471,467,18,820,807,1672,1516,1823,2973
1740243561,NaN,-57,-4096,64,15,46,-14,30,-426,100,10.25,-1236,-4062,-1202,4.875,7.69,1000.26,34.254,3,82,2372,1466,467,15,813,820,1669,1518,1820,2972
1740243561,NaN,-60,-4096,81,14,43,-15,30,-434,102,10.06,-1232,-4044,-1199,4.875,7.69,1000.35,34.243,3,77,2382,1472,457,10,810,818,1670,1518,1833,2973
1740243561,NaN,-36,-4106,89,15,41,-14,23,-431,88,10.25,-1212,-4073,-1184,4.875,7.69,1000.27,34.249,2,87,2374,1471,459,15,820,807,1670,1516,1834,2973
