mag_x,mag_y,mag_z
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
20.0,20.0,70.0
22.6167978121472,20.0,69.9314767377287
22.59531393828211,20.334628676919607,69.9314767377287
22.53121508130175,20.663762760215505,69.9314767377287
22.42555374266564,20.981997877339378,69.9314767377287
22.28006487863301,21.28410861646613,69.9314767377287
22.09713741232903,21.56513432761161,69.9314767377287
21.87977500769309,21.82046057636818,69.9314767377287
21.63154674940002,22.04589491279014,69.9314767377287
21.35652853858835,22.237735711305902,69.9314767377287
21.05923616667631,22.39283295130756,69.9314767377287
20.744551166191606,22.50863994040218,69.9314767377287
20.41764065614227,22.5832551310305,69.9314767377287
20.083872498065375,22.61545334382524,69.9314767377287
19.748727155889025,22.60470588502248,69.9314767377287
19.417707706866167,22.55118922759863,69.9314767377287
19.096249481198225,22.45578211358904,69.9314767377287
18.78963081406348,22.32005112516809,69.9314767377287
18.50288637549935,22.14622496141315,69.9314767377287
18.24072450125957,21.93715784312739,69.9314767377287
18.00744988207133,21.69628264661311,69.9314767377287
17.80689288073244,21.4275545359377,69.9314767377287
17.64234663766021,21.13538601924907,69.9314767377287
17.51651299761676,20.824574495513815,69.9314767377287
17.43145814549273,20.50022348135881,69.9314767377287
17.38857867960855,20.16765881146932,69.9314767377287
